Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
465,,,57,Biology,3739046,20527,1985,1,0.000474
466,,,3,Biology,NA,7838,1975,1,0.00013
467,,,16,Biology,NA,8886,1995,1,0.00013
468,,,90,Biology,469324,6086,1970,1,0.00013
469,,,21,Medical,149999,6094,2000,1,0.00013
470,,,123,Biology,NA,794,1995,0,0.00013
471,,,NA,Biology,10384552,7532,1985,1,0.00013
472,,,10,Technology,125639,4729,1985,1,0.00013
473,,,3,Medical,NA,17668,1985,1,0.000409
474,,,26,Biology,NA,7210,1995,1,0.00013
475,,,112,Biology,16788695,5088,1985,1,0.00013
476,,,NA,Biology,365987,455,2005,1,0.00013
477,,,16,Medical,NA,3733,1995,0,0.00013
478,,,NA,Biology,NA,2072,2005,1,0.00013
479,,,2,Medical,NA,739,2010,1,0.00013
480,,,NA,Medical,NA,61902,1985,1,0.00013
481,,,50,Medical,NA,1593,2005,1,0.00013
482,,,NA,Medical,NA,1667,2005,1,0.00013
483,,,57,Biology,NA,887,2005,1,0.00013
484,,,NA,Medical,487697,947,1995,1,0.00013
485,,,78,Medical,10607191,19257,1985,1,0.000377
486,,,19,Medical,NA,1027,2005,1,0.00013
487,,,NA,Biology,2668592,1705,2000,0,0.000372
488,,,NA,Medical,NA,1098,2000,1,0.00013
489,,,16,Biology,NA,349,2005,1,0.00013
490,,,8,Medical,NA,626,2005,1,0.00013
491,,,13,Medical,NA,1347,2005,1,0.00013
492,,,22,Biology,NA,4611,2005,1,0.000646
493,,,NA,Medical,13559244,20428,1965,1,0.00013
494,,,98,Biology,8517732,1045,2000,1,0.00013
495,,,NA,Biology,NA,6799,2000,1,0.00013
496,,,90,Biology,NA,1083,2000,1,0.000409
497,,,3,Medical,72199248,8762,1990,1,0.00013
498,,,312,Biology,7141564,3990,1990,1,0.000441
499,,,NA,Biology,NA,491,2005,0,0.00013
500,,,178,Biology,NA,1282,2005,1,0.00013
501,,,93,Biology,NA,6315,2005,1,0.00013
502,,,NA,Medical,NA,8272,1990,1,0.00013
503,,,NA,Medical,NA,1569,2000,1,0.00013
504,,,NA,Biology,NA,13003,2000,1,0.00013
505,,,64,Technology,NA,192,2005,1,0.00013
506,,,3,Medical,NA,283,2005,1,0.00013
507,,,13,Biology,NA,3409,2005,1,0.000671
508,,,NA,Biology,NA,1323,2005,1,0.00013
509,,,2,Medical,NA,17680,1995,1,0.000377
510,,,3,Medical,NA,7370,2000,1,0.00013
511,,,98,Biology,NA,10943,1995,1,0.00013
512,,,NA,Medical,NA,1331,1995,1,0.00013
513,,,NA,Biology,NA,6897,2000,1,0.00013
514,,,16,Biology,NA,4558,2005,1,0.000611
515,,,26,Biology,4680265,11750,2005,1,0.00013
516,,,51,Biology,2918899,1490,1980,1,0.00013
517,,,26,Biology,1951345,8126,1980,1,0.00013
518,,,NA,Biology,343963,496,2005,1,0.00013
519,,,NA,Medical,NA,884,2005,1,0.00013
520,,,NA,Technology,169933,1544,2005,1,0.00013
521,,,16,Biology,NA,1237,2000,1,0.00013
522,,,67,Biology,NA,2312,2005,1,0.00013
